step,epoch,loss,reward,grad_norm,learning_rate,clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,entropy,frac_reward_zero_std,kl,num_tokens,reward_std,rewards/reward_func/mean,rewards/reward_func/std,rewards/schema_reward_func/mean,rewards/schema_reward_func/std,rewards/terminal_reward_func/mean,rewards/terminal_reward_func/std,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
12,0.006,-0.2585597038269043,1.021484375,0.09263626486063004,4.8625000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.375,768.0,525.0,496.125,333.0,179.0,179.0,0.024616585404146463,0.0,0.00041034412060980685,75490.0,0.39573439955711365,0.7044922113418579,0.20953066647052765,0.1616211235523224,0.0887736976146698,0.15537111461162567,0.09893359988927841,,,,,
13,0.0065,-0.5236845016479492,0.8234776854515076,0.09551063925027847,4.85e-06,0.0,0.0,0.0,0.0,0.0,0.375,768.0,601.0,460.125,275.3999938964844,179.0,179.0,0.030574394157156348,0.0,0.0013726309371122625,81739.0,0.46851328015327454,0.6023638248443604,0.24409189820289612,0.11680692434310913,0.10783113539218903,0.10430692136287689,0.11862561851739883,,,,,
14,0.007,-0.2595299184322357,0.9386157989501953,0.08563232421875,4.837500000000001e-06,0.0,0.0,0.0,0.0,0.0,0.625,768.0,363.0,603.125,328.3333435058594,277.0,277.0,0.017967489722650498,0.0,0.0006976583727009711,89132.0,0.3402262330055237,0.6693079471588135,0.17011311650276184,0.1346539556980133,0.08505656570196152,0.1346539556980133,0.08505656570196152,,,,,
15,0.0075,-0.4307062029838562,0.9334287643432617,0.09580197185277939,4.825e-06,0.0,0.0,0.0,0.0,0.0,0.375,768.0,321.0,430.875,228.60000610351562,139.0,139.0,0.02311978512443602,0.0,0.000896471923624631,95147.0,0.4792109727859497,0.6573393940925598,0.25370246171951294,0.1411696970462799,0.11061819642782211,0.1349196881055832,0.11769158393144608,,,,,
16,0.008,-0.2645557224750519,0.8506414890289307,0.08697991818189621,4.8125e-06,0.0,0.0,0.0,0.0,0.0,0.5,768.0,469.0,549.5,331.0,271.0,271.0,0.017818292835727334,0.0,0.001405506962328218,102111.0,0.3736557960510254,0.6253207921981812,0.1868278831243515,0.11266037821769714,0.09341394901275635,0.11266037821769714,0.09341394901275635,,,,,
17,0.0085,-0.3385361135005951,0.8776556849479675,0.12399010360240936,4.800000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.375,768.0,537.0,497.5,335.20001220703125,141.0,141.0,0.020609920611605048,0.0,0.0020961476875527296,108659.0,0.4176174998283386,0.6388278603553772,0.20880872011184692,0.11941392719745636,0.10440436005592346,0.11941392719745636,0.10440436005592346,,,,,
18,0.009,-0.3136652410030365,0.9968600273132324,0.0754193589091301,4.7875e-06,0.0,0.0,0.0,0.0,0.0,0.5,768.0,483.0,555.375,342.75,197.0,197.0,0.023974317184183747,0.0,0.0022347916674334556,115670.0,0.37996792793273926,0.6984300017356873,0.18998396396636963,0.14921501278877258,0.09499198198318481,0.14921501278877258,0.09499198198318481,,,,,
19,0.0095,-0.12259924411773682,1.1149084568023682,0.06079737842082977,4.775e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,459.0,685.5,438.0,417.0,417.0,0.013670422253198922,0.0,0.0021536838394240476,123722.0,0.3230481445789337,0.7574541568756104,0.16152405738830566,0.17872709035873413,0.08076202869415283,0.17872709035873413,0.08076202869415283,,,,,
20,0.01,-0.2507998049259186,1.0341823101043701,0.06513609737157822,4.7625000000000006e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,179.0,694.375,179.0,179.0,179.0,0.01438676007091999,0.0,0.0018809500579664018,131845.0,0.2679571807384491,0.710841178894043,0.15097230672836304,0.16479557752609253,0.05035006254911423,0.158545583486557,0.06698929518461227,,,,,
21,0.0105,-0.15842291712760925,1.0703316926956177,0.06210099533200264,4.75e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,279.0,634.75,235.0,191.0,191.0,0.012352639809250832,0.0,0.0015407154933200218,139491.0,0.2988280951976776,0.7351658344268799,0.1494140475988388,0.1675829291343689,0.0747070237994194,0.1675829291343689,0.0747070237994194,,,,,
